protein1_uniprot,protein2_uniprot,interaction_type
P01887,P38158,0
P01887,P40967,0
P01887,P41355,0
P01887,P84098,0
P01887,P84099,0
P01887,Q02385,0
P01887,Q05754,0
P01887,Q05754,0
P01887,Q16615,0
P01887,Q5R1F1,0
P01887,Q62425,0
P01887,Q62425,0
P01887,Q701N7,0
P01887,Q701N7,0
P01887,Q76740,0
P01887,Q86867,0
P01887,Q88992,0
P01887,Q8QLZ6,0
P01887,Q8QLZ6,0
P01887,Q91B91,0
P01887,Q91YE7,0
P01887,Q91YE7,0
P01887,Q9D8V0,0
P01887,Q9D8V0,0
P01887,Q9QDK7,0
P01887,Q9QDK7,0
P01887,Q9YZ87,0
P01888,Q4MYJ2,0
P01888,Q9YKD7,0
P01899,Q792Z7,0
P01903,A2NTY6,0
P01903,P01738,0
P01903,P03205,0
P01903,P03205,0
P01903,P04213,0
P01994,P21611,0
P02077,Q1KZF3,0
P02218,O61233,0
P02299,P02283,0
P02302,P02281,0
P02391,P0A7R1,0
P02406,P04449,0
P02406,P04456,0
P02406,P04650,0
P02406,P05317,0
P02406,P05737,0
P02406,P05738,0
P02406,P05740,0
P02406,P05743,0
P02406,P05744,0
P02406,P05745,0
P02406,P05747,0
P02406,P05748,0
P02406,P05749,0
P02406,P0C0W9,0
P02406,P0C2H6,0
P02406,P0C2H8,0
P02406,P0CH08,0
P02406,P0CX23,0
P02406,P0CX25,0
P02406,P0CX27,0
P02406,P0CX41,0
P02406,P0CX45,0
P02406,P0CX49,0
P02406,P0CX82,0
P02406,P0CX84,0
P02406,P0CX86,0
P02406,P10664,0
P02406,P14120,0
P02406,P14126,0
P02406,P17076,0
P02406,P26321,0
P02406,P26784,0
P02406,P36105,0
P02406,P38061,0
P02406,P41805,0
P02406,P49166,0
P02406,P49167,0
P02406,P87262,0
P02406,Q02326,0
P02406,Q02753,0
P02406,Q12690,0
P02407,P05756,0
P02407,P05759,0
P02407,P06367,0
P02407,P07280,0
P02407,P0C0V8,0
P02407,P0C0W1,0
P02407,P0CX29,0
P02407,P0CX31,0
P02407,P0CX33,0
P02407,P0CX35,0
P02407,P0CX37,0
P02407,P0CX39,0
P02407,P0CX47,0
P02407,P0CX51,0
P02407,P0CX55,0
P02407,P25443,0
P02407,P26783,0
P02407,P26786,0
P02407,P35997,0
P02407,P38701,0
P02407,P39015,0
P02407,P39938,0
P02407,P41057,0
P02407,P48589,0
P02407,Q01855,0
P02407,Q08745,0
P02407,Q3E792,0
P02407,Q3E7X9,0
P02550,Q2HJ86,0
P02554,Q6B856,0
P02671,P02676,0
P02671,Q48WD8,0
P02676,P02679,0
P02698,P04695,0
P02698,P19632,0
P02698,P19632,0
P02698,P20942,0
P02712,P02714,0
P02718,P02714,0
P02721,P05630,0
P02721,P05631,0
P02721,P05632,0
P02721,P19483,0
P02771,P61769,0
P02788,P12307,0
P03204,P61769,0
P03205,Q91LS8,0
P03211,P61769,0
P03300,Q84868,0
P03300,Q8QXN9,0
P03300,Q9IZE6,0
P03303,Q80SI7,0
P03303,Q8K1F2,0
P03303,Q8V5K2,0
P03313,P08292,0
P03313,Q66282,0
P03366,P01837,0
P03366,P61769,0
P03369,Q9YV20,0
P03485,P61769,0
P03633,P03643,0
P03633,P69486,0
P03633,P69487,0
P03641,P69486,0
P03641,P69487,0
P03642,P03644,0
P03642,P03652,0
P03643,P69486,0
P03643,P69487,0
P03644,P03652,0
P03732,Q8X5E5,0
P04038,P00430,0
P04038,P07470,0
P04038,P07470,0
P04038,P07471,0
P04038,P10175,0
P04038,P10175,0
P04050,P22139,0
P04050,P32585,0
P04050,P34162,0
P04050,P40422,0
P04050,Q99278,0
P04213,P04229,0
P04213,P61769,0
P04214,P01887,0
P04229,P0A0L2,0
P04229,P0A0L3,0
P04234,A2NVF0,0
P04449,P04456,0
P04449,P04650,0
P04449,P05317,0
P04449,P05737,0
P04449,P05738,0
P04449,P05740,0
P04449,P05743,0
P04449,P05744,0
P04449,P05745,0
P04449,P05747,0
P04449,P05748,0
P04449,P05749,0
P04449,P0C0W9,0
P04449,P0C2H6,0
P04449,P0C2H8,0
P04449,P0CH08,0
P04449,P0CX23,0
P04449,P0CX25,0
P04449,P0CX27,0
P04449,P0CX41,0
P04449,P0CX45,0
P04449,P0CX49,0
P04449,P0CX82,0
P04449,P0CX84,0
P04449,P0CX86,0
P04449,P10664,0
P04449,P14120,0
P04449,P14126,0
P04449,P17076,0
P04449,P26321,0
P04449,P26784,0
P04449,P36105,0
P04449,P38061,0
P04449,P41805,0
P04449,P49166,0
P04449,P49167,0
P04449,P87262,0
P04449,Q02326,0
P04449,Q02753,0
P04449,Q12690,0
P04450,P68919,0
P04456,P04650,0
P04456,P05317,0
P04456,P05737,0
P04456,P05738,0
P04456,P05740,0
P04456,P05743,0
P04456,P05744,0
P04456,P05745,0
P04456,P05747,0
P04456,P05748,0
P04456,P05749,0
P04456,P0C0W9,0
P04456,P0C2H6,0
P04456,P0C2H8,0
P04456,P0CH08,0
P04456,P0CX23,0
P04456,P0CX25,0
P04456,P0CX27,0
P04456,P0CX41,0
P04456,P0CX45,0
P04456,P0CX49,0
P04456,P0CX82,0
P04456,P0CX84,0
P04456,P0CX86,0
P04456,P10664,0
P04456,P14120,0
P04456,P14126,0
P04456,P17076,0
P04456,P26321,0
P04456,P26784,0
P04456,P36105,0
P04456,P38061,0
P04456,P41805,0
P04456,P49166,0
P04456,P49167,0
P04456,P87262,0
P04456,Q02326,0
P04456,Q02753,0
P04456,Q12690,0
P04578,Q6GMX0,0
P04582,P20937,0
P04582,P61769,0
P04583,P61769,0
P04588,P61769,0
P04602,P61769,0
P04626,P61769,0
P04637,P24941,0
P04650,P05317,0
P04650,P05737,0
P04650,P05738,0
P04650,P05740,0
P04650,P05743,0
P04650,P05744,0
P04650,P05745,0
P04650,P05747,0
P04650,P05748,0
P04650,P05749,0
P04650,P0C0W9,0
P04650,P0C2H6,0
P04650,P0C2H8,0
P04650,P0CH08,0
P04650,P0CX23,0
P04650,P0CX25,0
P04650,P0CX27,0
P04650,P0CX41,0
P04650,P0CX45,0
P04650,P0CX49,0
P04650,P0CX82,0
P04650,P0CX84,0
P04650,P0CX86,0
P04650,P10664,0
P04650,P14120,0
P04650,P14126,0
P04650,P17076,0
P04650,P26321,0
P04650,P26784,0
P04650,P36105,0
P04650,P38061,0
P04650,P41805,0
P04650,P49166,0
P04650,P49167,0
P04650,P87262,0
P04650,Q02326,0
P04650,Q02753,0
P04650,Q12690,0
P04695,P02698,0
P04857,P61769,0
P04858,P61769,0
P04896,P63212,0
P04978,P04979,0
P04978,P04979,0
P04979,P04981,0
P04979,P04981,0
P05067,Q8JH58,0
P05310,P12357,0
P05310,P12357,0
P05310,P17227,0
P05310,P17227,0
P05310,P20120,0
P05310,P22179,0
P05310,P22179,0
P05310,Q01667,0
P05310,Q32904,0
P05310,Q41038,0
P05310,Q84U30,0
P05310,Q84U30,0
P05310,Q9SQL2,0
P05310,Q9SY97,0
P05311,P36886,0
P05311,Q01667,0
P05311,Q32904,0
P05311,Q41038,0
P05311,Q84U30,0
P05311,Q84U30,0
P05311,Q9SQL2,0
P05311,Q9SY97,0
P05317,P05737,0
P05317,P05738,0
P05317,P05740,0
P05317,P05743,0
P05317,P05744,0
P05317,P05745,0
P05317,P05747,0
P05317,P05748,0
P05317,P05749,0
P05317,P0C0W9,0
P05317,P0C2H6,0
P05317,P0C2H8,0
P05317,P0CH08,0
P05317,P0CX23,0
P05317,P0CX25,0
P05317,P0CX27,0
P05317,P0CX41,0
P05317,P0CX45,0
P05317,P0CX49,0
P05317,P0CX82,0
P05317,P0CX84,0
P05317,P0CX86,0
P05317,P10664,0
P05317,P14120,0
P05317,P14126,0
P05317,P17076,0
P05317,P26321,0
P05317,P26784,0
P05317,P36105,0
P05317,P38061,0
P05317,P41805,0
P05317,P49166,0
P05317,P49167,0
P05317,P87262,0
P05317,Q02326,0
P05317,Q02753,0
P05317,Q12690,0
P05504,P07151,0
P05630,P01096,0
P05630,P13619,0
P05630,P13620,0
P05630,P13621,0
P05630,P19483,0
P05631,P0A6E6,0
P05631,P13619,0
P05631,P13620,0
P05631,P13621,0
P05631,P68699,0
P05632,P01096,0
P05632,P13619,0
P05632,P13620,0
P05632,P13621,0
P05632,P19483,0
P05737,P05738,0
P05737,P05740,0
P05737,P05743,0
P05737,P05744,0
P05737,P05745,0
P05737,P05747,0
P05737,P05748,0
P05737,P05749,0
P05737,P0C0W9,0
P05737,P0C2H6,0
P05737,P0C2H8,0
P05737,P0CH08,0
P05737,P0CX23,0
P05737,P0CX25,0
P05737,P0CX27,0
P05737,P0CX41,0
P05737,P0CX45,0
P05737,P0CX49,0
P05737,P0CX82,0
P05737,P0CX84,0
P05737,P0CX86,0
P05737,P10664,0
P05737,P14120,0
P05737,P14126,0
P05737,P17076,0
P05737,P26321,0
P05737,P26784,0
P05737,P36105,0
P05737,P38061,0
P05737,P41805,0
P05737,P49166,0
P05737,P49167,0
P05737,P87262,0
P05737,Q02326,0
P05737,Q02753,0
P05737,Q12690,0
P05738,P05740,0
P05738,P05743,0
P05738,P05744,0
P05738,P05745,0
P05738,P05747,0
P05738,P05748,0
P05738,P05749,0
P05738,P0C0W9,0
P05738,P0C2H6,0
P05738,P0C2H8,0
P05738,P0CH08,0
P05738,P0CX23,0
P05738,P0CX25,0
P05738,P0CX27,0
P05738,P0CX41,0
P05738,P0CX45,0
P05738,P0CX49,0
P05738,P0CX82,0
P05738,P0CX84,0
P05738,P0CX86,0
P05738,P10664,0
P05738,P14120,0
P05738,P14126,0
P05738,P17076,0
P05738,P26321,0
P05738,P26784,0
P05738,P36105,0
P05738,P38061,0
P05738,P41805,0
P05738,P49166,0
P05738,P49167,0
P05738,P87262,0
P05738,Q02326,0
P05738,Q02753,0
P05738,Q12690,0
P05740,P05743,0
P05740,P05744,0
P05740,P05745,0
P05740,P05747,0
P05740,P05748,0
P05740,P05749,0
P05740,P0C0W9,0
P05740,P0C2H6,0
P05740,P0C2H8,0
P05740,P0CH08,0
P05740,P0CX23,0
P05740,P0CX25,0
P05740,P0CX27,0
P05740,P0CX41,0
P05740,P0CX45,0
P05740,P0CX49,0
P05740,P0CX82,0
P05740,P0CX84,0
P05740,P0CX86,0
P05740,P10664,0
P05740,P14120,0
P05740,P14126,0
P05740,P17076,0
P05740,P26321,0
P05740,P26784,0
P05740,P36105,0
P05740,P38061,0
P05740,P41805,0
P05740,P49166,0
P05740,P49167,0
P05740,P87262,0
P05740,Q02326,0
P05740,Q02753,0
P05740,Q12690,0
P05743,P05744,0
P05743,P05745,0
P05743,P05747,0
P05743,P05748,0
P05743,P05749,0
P05743,P0C0W9,0
P05743,P0C2H6,0
P05743,P0C2H8,0
P05743,P0CH08,0
P05743,P0CX23,0
P05743,P0CX25,0
P05743,P0CX27,0
P05743,P0CX41,0
P05743,P0CX45,0
P05743,P0CX49,0
P05743,P0CX82,0
P05743,P0CX84,0
P05743,P0CX86,0
P05743,P10664,0
P05743,P14120,0
P05743,P14126,0
P05743,P17076,0
P05743,P26321,0
P05743,P26784,0
P05743,P36105,0
P05743,P38061,0
P05743,P41805,0
P05743,P49166,0
P05743,P49167,0
P05743,P87262,0
P05743,Q02326,0
P05743,Q02753,0
P05743,Q12690,0
P05744,P05745,0
P05744,P05747,0
P05744,P05748,0
P05744,P05749,0
P05744,P0C0W9,0
P05744,P0C2H6,0
P05744,P0C2H8,0
P05744,P0CH08,0
P05744,P0CX23,0
P05744,P0CX25,0
P05744,P0CX27,0
P05744,P0CX41,0
P05744,P0CX45,0
P05744,P0CX49,0
P05744,P0CX82,0
P05744,P0CX84,0
P05744,P0CX86,0
P05744,P10664,0
P05744,P14120,0
P05744,P14126,0
P05744,P17076,0
P05744,P26321,0
P05744,P26784,0
P05744,P36105,0
P05744,P38061,0
P05744,P41805,0
P05744,P49166,0
P05744,P49167,0
P05744,P87262,0
P05744,Q02326,0
P05744,Q02753,0
P05744,Q12690,0
P05745,P05747,0
P05745,P05748,0
P05745,P05749,0
P05745,P0C0W9,0
P05745,P0C2H6,0
P05745,P0C2H8,0
P05745,P0CH08,0
P05745,P0CX23,0
P05745,P0CX25,0
P05745,P0CX27,0
P05745,P0CX41,0
P05745,P0CX45,0
P05745,P0CX49,0
P05745,P0CX82,0
P05745,P0CX84,0
P05745,P0CX86,0
P05745,P10664,0
P05745,P14120,0
P05745,P14126,0
P05745,P17076,0
P05745,P26321,0
P05745,P26784,0
P05745,P36105,0
P05745,P38061,0
P05745,P41805,0
P05745,P49166,0
P05745,P49167,0
P05745,P87262,0
P05745,Q02326,0
P05745,Q02753,0
P05745,Q12690,0
P05747,P05748,0
P05747,P05749,0
P05747,P0C0W9,0
P05747,P0C2H6,0
P05747,P0C2H8,0
P05747,P0CH08,0
P05747,P0CX23,0
P05747,P0CX25,0
P05747,P0CX27,0
P05747,P0CX41,0
P05747,P0CX45,0
P05747,P0CX49,0
P05747,P0CX82,0
P05747,P0CX84,0
P05747,P0CX86,0
P05747,P10664,0
P05747,P14120,0
P05747,P14126,0
P05747,P17076,0
P05747,P26321,0
P05747,P26784,0
P05747,P36105,0
P05747,P38061,0
P05747,P41805,0
P05747,P49166,0
P05747,P49167,0
P05747,P87262,0
P05747,Q02326,0
P05747,Q02753,0
P05747,Q12690,0
P05748,P05749,0
P05748,P0C0W9,0
P05748,P0C2H6,0
P05748,P0C2H8,0
P05748,P0CH08,0
P05748,P0CX23,0
P05748,P0CX25,0
P05748,P0CX27,0
P05748,P0CX41,0
P05748,P0CX45,0
P05748,P0CX49,0
P05748,P0CX82,0
P05748,P0CX84,0
P05748,P0CX86,0
P05748,P10664,0
P05748,P14120,0
P05748,P14126,0
P05748,P17076,0
P05748,P26321,0
P05748,P26784,0
P05748,P36105,0
P05748,P38061,0
P05748,P41805,0
P05748,P49166,0
P05748,P49167,0
P05748,P87262,0
P05748,Q02326,0
P05748,Q02753,0
P05748,Q12690,0
P05749,P0C0W9,0
P05749,P0C2H6,0
P05749,P0C2H8,0
P05749,P0CH08,0
P05749,P0CX23,0
P05749,P0CX25,0
P05749,P0CX27,0
P05749,P0CX41,0
P05749,P0CX45,0
P05749,P0CX49,0
P05749,P0CX82,0
P05749,P0CX84,0
P05749,P0CX86,0
P05749,P10664,0
P05749,P14120,0
P05749,P14126,0
P05749,P17076,0
P05749,P26321,0
P05749,P26784,0
P05749,P36105,0
P05749,P38061,0
P05749,P41805,0
P05749,P49166,0
P05749,P49167,0
P05749,P87262,0
P05749,Q02326,0
P05749,Q02753,0
P05749,Q12690,0
P05750,P05756,0
P05750,P05759,0
P05750,P06367,0
P05750,P07280,0
P05750,P0C0V8,0
P05750,P0C0W1,0
P05750,P0CX29,0
P05750,P0CX31,0
P05750,P0CX33,0
P05750,P0CX35,0
P05750,P0CX37,0
P05750,P0CX39,0
P05750,P0CX47,0
P05750,P0CX51,0
P05750,P0CX55,0
P05750,P26783,0
P05750,P26786,0
P05750,P32905,0
P05750,P33442,0
P05750,P35997,0
P05750,P39938,0
P05750,P48589,0
P05750,Q01855,0
P05750,Q3E792,0
P05750,Q3E7X9,0
P05756,P05759,0
P05756,P06367,0
P05756,P0C0V8,0
P05756,P0CX29,0
P05756,P0CX31,0
P05756,P0CX33,0
P05756,P0CX35,0
P05756,P0CX37,0
P05756,P0CX39,0
P05756,P0CX51,0
P05756,P0CX55,0
P05756,P25443,0
P05756,P26783,0
P05756,P32905,0
P05756,P33442,0
P05756,P38011,0
P05756,P38701,0
P05756,P39015,0
P05756,P39938,0
P05756,P41057,0
P05756,P48589,0
P05756,Q01855,0
P05756,Q08745,0
P05756,Q3E792,0
P05756,Q3E7X9,0
P05759,P06367,0
P05759,P07280,0
P05759,P0C0V8,0
P05759,P0C0W1,0
P05759,P0CX29,0
P05759,P0CX31,0
P05759,P0CX33,0
P05759,P0CX35,0
P05759,P0CX37,0
P05759,P0CX39,0
P05759,P0CX47,0
P05759,P0CX51,0
P05759,P0CX55,0
P05759,P25443,0
P05759,P26783,0
P05759,P26786,0
P05759,P32905,0
P05759,P33442,0
P05759,P35997,0
P05759,P38011,0
P05759,P38701,0
P05759,P39938,0
P05759,P41057,0
P05759,Q08745,0
P05759,Q3E792,0
P05759,Q3E7X9,0
P05805,Q7M3E1,0
P06030,P18525,0
P06241,Q13291,0
P06367,P07280,0
P06367,P0C0V8,0
P06367,P0C0W1,0
P06367,P0CX29,0
P06367,P0CX31,0
P06367,P0CX33,0
P06367,P0CX35,0
P06367,P0CX37,0
P06367,P0CX39,0
P06367,P0CX47,0
P06367,P0CX51,0
P06367,P0CX55,0
P06367,P25443,0
P06367,P26786,0
P06367,P32905,0
P06367,P35997,0
P06367,P38011,0
P06367,P38701,0
P06367,P39015,0
P06367,P41057,0
P06367,P48589,0
P06367,Q01855,0
P06367,Q08745,0
P06367,Q3E792,0
P06367,Q3E7X9,0
P06611,P37028,0
P06611,P37028,0
P06725,P61769,0
P06730,Q6EVI3,0
P07143,A0N6Y3,0
P07143,P01647,0
P07143,P18531,0
P07143,P18531,0
P07151,P05504,0
P07151,Q9JJP9,0
P07151,Q9JJP9,0
P07204,Q69EZ8,0
P07251,P21306,0
P07251,P21306,0
P07251,P61829,0
P07251,Q12165,0
P07251,Q12165,0
P07251,Q2XN67,0
P07256,A0N6Y3,0
P07256,P00044,0
P07256,P00127,0
P07256,P01647,0
P07256,P18531,0
P07256,P18531,0
P07257,A0N6Y3,0
P07257,P00044,0
P07257,P00127,0
P07257,P00163,0
P07257,P01647,0
P07257,P08067,0
P07257,P08067,0
P07257,P08525,0
P07257,P08525,0
P07257,P18531,0
P07257,P18531,0
P07257,P22289,0
P07257,P22289,0
P07273,P16370,0
P07273,P20433,0
P07273,P20434,0
P07273,P20435,0
P07273,P20436,0
P07273,P22139,0
P07273,P34087,0
P07273,P38902,0
P07273,P40422,0
P07280,P0C0V8,0
P07280,P0C0W1,0
P07280,P0CX29,0
P07280,P0CX31,0
P07280,P0CX33,0
P07280,P0CX35,0
P07280,P0CX37,0
P07280,P0CX39,0
P07280,P0CX47,0
P07280,P25443,0
P07280,P26783,0
P07280,P26786,0
P07280,P32905,0
P07280,P33442,0
P07280,P35997,0
P07280,P38011,0
P07280,P38701,0
P07280,P39938,0
P07280,P41057,0
P07280,P48589,0
P07280,Q01855,0
P07280,Q08745,0
P07280,Q3E792,0
P07280,Q3E7X9,0
P07358,P07360,0
P07359,P22029,0
P07470,P07471,0
P07470,P10175,0
P07470,P10175,0
P07470,P13183,0
P07470,P13183,0
P07470,P68530,0
P07470,P68553,0
P07471,P00430,0
P07471,P04038,0
P07471,P07470,0
P07471,P10175,0
P07471,P10175,0
P07471,P13183,0
P07471,P13183,0
P07471,P68530,0
P07471,P68553,0
P07550,P63212,0
P07552,P13271,0
P07552,P23004,0
P07910,P61769,0
P07939,Q8V5E4,0
P08067,P00044,0
P08067,P00127,0
P08067,P00128,0
P08189,Q0T8Y8,0
P08240,O81229,0
P08240,P61010,0
P08240,Q5RBR1,0
P08240,Q5XLD9,0
P08240,Q8L805,0
P08292,Q66282,0
P08306,P77921,0
P08306,P77921,0
P08525,A0N6Y3,0
P08525,P00044,0
P08525,P01647,0
P08525,P18531,0
P08525,P18531,0
P08525,P22289,0
P08525,P22289,0
P08560,Q8NHL6,0
P09132,O07347,0
P09132,O62798,0
P09132,P37108,0
P09132,P49458,0
P09132,Q1WHN3,0
P09207,P21611,0
P09603,Q5VVF2,0
P09651,Q3MI39,0
P09713,P61769,0
P09856,P27320,0
P09856,P27320,0
P09919,Q8N4W3,0
P09944,Q69EZ8,0
P09945,Q69EZ8,0
P0A0L2,Q91LS8,0
P0A0L5,P27705,0
P0A0L5,P60175,0
P0A0L5,Q91LS8,0
P0A384,P0A3Y1,0
P0A384,Q8YVQ2,0
P0A386,P0A431,0
P0A386,PSBZ_SYNEL,0
P0A386,Q8DHA7,0
P0A386,Q8DHJ2,0
P0A386,Q8DHJ2,0
P0A386,Q8DIN8,0
P0A386,Q8DIQ0,0
P0A386,Q8DIQ1,0
P0A386,Q8DJ43,0
P0A386,Q8DJI1,0
P0A386,Q8DJZ6,0
P0A386,Q9F1K9,0
P0A386,Q9F1M3,0
P0A386,Q9F1R6,0
P0A386,Q9F1R6,0
P0A387,P12240,0
P0A387,P12241,0
P0A387,P12313,0
P0A387,P19054,0
P0A387,Q8CM25,0
P0A387,Q8CM25,0
P0A387,Q8DIN9,0
P0A387,Q8DIN9,0
P0A387,Q8DIP0,0
P0A387,Q8DIP0,0
P0A387,Q8DIQ1,0
P0A387,Q8DIQ1,0
P0A387,Q9F1K9,0
P0A387,Q9F1K9,0
P0A3Y1,Q93SX0,0
P0A401,P0A403,0
P0A401,P0A403,0
P0A401,P0A415,0
P0A401,P0A425,0
P0A401,P0A425,0
P0A401,P0A427,0
P0A401,P0A427,0
P0A401,Q8DGB4,0
P0A401,Q8DGB4,0
P0A401,Q8DKP6,0
P0A403,P0A405,0
P0A403,P0A415,0
P0A403,P0A420,0
P0A403,P0A423,0
P0A403,P0A425,0
P0A403,P0A429,0
P0A403,Q8DKP6,0
P0A403,Q8DKP6,0
P0A405,P0A403,0
P0A405,P0A427,0
P0A405,P0A427,0
P0A405,Q8DKP6,0
P0A405,Q8DKP6,0
P0A407,P0A425,0
P0A407,P0A425,0
P0A415,P0A425,0
P0A415,P0A427,0
P0A415,P0A429,0
P0A415,Q8DGB4,0
P0A415,Q8DKP6,0
P0A416,P0A401,0
P0A416,P0A403,0
P0A416,P0A425,0
P0A416,P0A427,0
P0A416,P0A429,0
P0A416,Q8DGB4,0
P0A416,Q8DKP6,0
P0A420,P0A403,0
P0A420,P0A425,0
P0A420,P0A425,0
P0A420,P0A427,0
P0A420,P0A427,0
P0A420,P0A429,0
P0A420,P0A429,0
P0A420,Q8DKP6,0
P0A420,Q8DKP6,0
P0A423,P0A403,0
P0A423,P0A425,0
P0A423,P0A425,0
P0A423,P0A427,0
P0A423,P0A427,0
P0A423,P0A429,0
P0A423,P0A429,0
P0A423,Q8DGB4,0
P0A423,Q8DGB4,0
P0A423,Q8DKP6,0
P0A423,Q8DKP6,0
P0A425,P0A403,0
P0A425,P0A427,0
P0A425,P0A429,0
P0A425,Q8DGB4,0
P0A425,Q8DGB4,0
P0A425,Q8DKP6,0
P0A425,Q8DKP6,0
P0A427,P0A425,0
P0A427,P0A429,0
P0A427,P0A429,0
P0A427,Q8DKP6,0
P0A427,Q8DKP6,0
P0A429,P0A403,0
P0A429,P0A425,0
P0A429,Q8DGB4,0
P0A429,Q8DGB4,0
P0A429,Q8DKP6,0
P0A429,Q8DKP6,0
P0A431,P0A386,0
P0A431,P59087,0
P0A431,PSBZ_SYNEL,0
P0A431,Q8DHA7,0
P0A431,Q8DHJ2,0
P0A431,Q8DHJ2,0
P0A431,Q8DIN8,0
P0A431,Q8DIN9,0
P0A431,Q8DIP0,0
P0A431,Q8DIQ0,0
P0A431,Q8DIQ0,0
P0A431,Q8DJ43,0
P0A431,Q8DJI1,0
P0A431,Q8DJZ6,0
P0A431,Q9F1K9,0
P0A431,Q9F1R6,0
P0A431,Q9F1R6,0
P0A444,PSBZ_SYNEL,0
P0A444,Q8DHJ2,0
P0A444,Q8DHJ2,0
P0A444,Q8DJ43,0
P0A444,Q8DJ43,0
P0A444,Q8DJI1,0
P0A444,Q9F1K9,0
P0A444,Q9F1K9,0
P0A444,Q9F1R6,0
P0A444,Q9F1R6,0
P0A646,P63874,0
P0A6E6,P19483,0
P0A6E6,P68699,0
P0A6F5,P17313,0
P0A6Q3,P72391,0
P0A6Q3,Q5SKH9,0
P0A7J7,P04450,0
P0A7J7,P68919,0
P0A7R1,P04450,0
P0A7R1,P0A7J7,0
P0A7R1,P68919,0
P0A8Q3,Q328H0,0
P0A8Q6,P0ABI1,0
P0A953,P0AEK2,0
P0A953,P72391,0
P0A953,Q5SKH9,0
P0A953,Q949M3,0
P0ABH9,P0ABI1,0
P0ABJ1,P0ABJ3,0
P0ABJ1,P0ABJ3,0
P0ABZ6,P0ABZ9,0
P0ADV1,Q32BD3,0
P0AEK2,P72391,0
P0AEK2,Q5SKH9,0
P0AEK7,P24183,0
P0AEX9,Q1R3Q1,0
P0AEX9,Q96RP3,0
P0AEY0,Q7JJ26,0
P0C0V8,P0CX29,0
P0C0V8,P0CX31,0
P0C0V8,P0CX33,0
P0C0V8,P0CX35,0
P0C0V8,P0CX37,0
P0C0V8,P0CX39,0
P0C0V8,P0CX47,0
P0C0V8,P0CX51,0
P0C0V8,P0CX55,0
P0C0V8,P26783,0
P0C0V8,P26786,0
P0C0V8,P33442,0
P0C0V8,P38011,0
P0C0V8,P38701,0
P0C0V8,P39015,0
P0C0V8,P39938,0
P0C0V8,P41057,0
P0C0V8,P48589,0
P0C0V8,Q01855,0
P0C0V8,Q08745,0
P0C0V8,Q3E792,0
P0C0V8,Q3E7X9,0
P0C0W1,P0CX31,0
P0C0W1,P0CX33,0
P0C0W1,P0CX35,0
P0C0W1,P0CX37,0
P0C0W1,P0CX39,0
P0C0W1,P0CX51,0
P0C0W1,P0CX55,0
P0C0W1,P26783,0
P0C0W1,P32905,0
P0C0W1,P33442,0
P0C0W1,P38011,0
P0C0W1,P38701,0
P0C0W1,P39015,0
P0C0W1,P39938,0
P0C0W1,P41057,0
P0C0W1,P48589,0
P0C0W1,Q01855,0
P0C0W1,Q08745,0
P0C0W1,Q3E792,0
P0C0W1,Q3E7X9,0
P0C0W9,P0C2H6,0
P0C0W9,P0C2H8,0
P0C0W9,P0CH08,0
P0C0W9,P0CX23,0
P0C0W9,P0CX25,0
P0C0W9,P0CX27,0
P0C0W9,P0CX41,0
P0C0W9,P0CX45,0
P0C0W9,P0CX49,0
P0C0W9,P0CX82,0
P0C0W9,P0CX84,0
P0C0W9,P0CX86,0
P0C0W9,P10664,0
P0C0W9,P14120,0
P0C0W9,P14126,0
P0C0W9,P17076,0
P0C0W9,P26321,0
P0C0W9,P26784,0
P0C0W9,P36105,0
P0C0W9,P38061,0
P0C0W9,P41805,0
P0C0W9,P49166,0
P0C0W9,P49167,0
P0C0W9,P87262,0
P0C0W9,Q02326,0
P0C0W9,Q02753,0
P0C0W9,Q12690,0
P0C0X8,P0C0Y7,0
P0C0X8,P0C0Y7,0
P0C1D4,P49728,0
P0C1H3,P84229,0
P0C1H3,P84229,0
P0C1H3,P84236,0
P0C1H5,P84229,0
P0C1H5,P84229,0
P0C1H5,P84234,0
P0C1H5,P84236,0
P0C213,P61769,0
P0C213,P68979,0
P0C2H6,P0C2H8,0
P0C2H6,P0CH08,0
P0C2H6,P0CX23,0
P0C2H6,P0CX25,0
P0C2H6,P0CX27,0
P0C2H6,P0CX41,0
P0C2H6,P0CX45,0
P0C2H6,P0CX49,0
P0C2H6,P0CX82,0
P0C2H6,P0CX84,0
P0C2H6,P0CX86,0
P0C2H6,P10664,0
P0C2H6,P14120,0
P0C2H6,P14126,0
P0C2H6,P17076,0
P0C2H6,P26321,0
P0C2H6,P26784,0
P0C2H6,P36105,0
P0C2H6,P38061,0
P0C2H6,P41805,0
P0C2H6,P49166,0
P0C2H6,P49167,0
P0C2H6,P87262,0
P0C2H6,Q02326,0
P0C2H6,Q02753,0
P0C2H6,Q12690,0
P0C2H8,P0CH08,0
P0C2H8,P0CX23,0
P0C2H8,P0CX25,0
P0C2H8,P0CX27,0
P0C2H8,P0CX41,0
P0C2H8,P0CX45,0
P0C2H8,P0CX49,0
P0C2H8,P0CX82,0
P0C2H8,P0CX84,0
P0C2H8,P0CX86,0
P0C2H8,P10664,0
P0C2H8,P14120,0
P0C2H8,P14126,0
P0C2H8,P17076,0
P0C2H8,P26321,0
P0C2H8,P26784,0
P0C2H8,P36105,0
P0C2H8,P38061,0
