protein1_pdb,protein2_pdb,protein1_uniprot,protein2_uniprot,interaction_type
6BAH,1ZVS,P01834,P61769,0
6BAH,2A83,P01834,P61769,0
6BAH,2AV1,P01834,P61769,0
6BAH,2AXG,P01834,P61769,0
6BAH,2BSR,P01834,P61769,0
6BAH,2BSS,P01834,P61769,0
6BAH,2BVO,P01834,P61769,0
6BAH,2BVP,P01834,P61769,0
6BAH,2BVQ,P01834,P61769,0
6BAH,2C7U,P01834,P61769,0
6BAH,2CII,P01834,P61769,0
6BAH,2CIK,P01834,P61769,0
6BAH,2CLR,P01834,P61769,0
6BAH,2F8O,P01834,P61769,0
6BAH,2FZ3,P01834,P61769,0
6BAH,2GTZ,P01834,P61769,0
6BAH,2H26,P01834,P61769,0
6BAH,2H6P,P01834,P61769,0
6BAH,2HJL,P01834,P61769,0
6BAH,2V2W,P01834,P61769,0
6BAH,2XPG,P01834,P61769,0
6BAH,2YPK,P01834,P61769,0
6BAH,3AM8,P01834,P61769,0
6BAH,3BGM,P01834,P61769,0
6BAH,3BH8,P01834,P61769,0
6BAH,3BH9,P01834,P61769,0
6BAH,3BO8,P01834,P61769,0
6BAH,3BP4,P01834,P61769,0
6BAH,3BVN,P01834,P61769,0
6BAH,3BW9,P01834,P61769,0
6BAH,3CII,P01834,P61769,0
6BAH,3CZF,P01834,P61769,0
6BAH,3D18,P01834,P61769,0
6BAH,3D25,P01834,P61769,0
6BAH,3D2U,P01834,P61769,0
6BAH,3D39,P01834,P61769,0
6BAH,3D3V,P01834,P61769,0
6BAH,3DBX,P01834,P61769,0
6BAH,3DX6,P01834,P61769,0
6BAH,3EKC,P01834,P61769,0
6BAH,3FQU,P01834,P61769,0
6BAH,3FQX,P01834,P61769,0
6BAH,3FT3,P01834,P61769,0
6BAH,3GIV,P01834,P61769,0
6BAH,3GSW,P01834,P61769,0
6BAH,3H7B,P01834,P61769,0
6BAH,3I6G,P01834,P61769,0
6BAH,3I6K,P01834,P61769,0
6BAH,3I6L,P01834,P61769,0
6BAH,3IB4,P01834,P61769,0
6BAH,3JTS,P01834,P61769,0
6BAH,3KLA,P01834,P61769,0
6BAH,3KPL,P01834,P61769,0
6BAH,3KPO,P01834,P61769,0
6BAH,3KPQ,P01834,P61769,0
6BAH,3KPS,P01834,P61769,0
6BAH,3L3G,P01834,P61769,0
6BAH,3LKP,P01834,P61769,0
6BAH,3LKQ,P01834,P61769,0
6BAH,3LKR,P01834,P61769,0
6BAH,3LN4,P01834,P61769,0
6BAH,3LOZ,P01834,P61769,0
6BAH,3LV3,P01834,P61769,0
6BAH,3M1B,P01834,P61769,0
6BAH,3MR9,P01834,P61769,0
6BAH,3MRB,P01834,P61769,0
6BAH,3MRC,P01834,P61769,0
6BAH,3MRD,P01834,P61769,0
6BAH,3MRE,P01834,P61769,0
6BAH,3MRF,P01834,P61769,0
6BAH,3MRG,P01834,P61769,0
6BAH,3MRI,P01834,P61769,0
6BAH,3MRK,P01834,P61769,0
6BAH,3MRM,P01834,P61769,0
6BAH,3MRN,P01834,P61769,0
6BAH,3MRP,P01834,P61769,0
6BAH,3MRQ,P01834,P61769,0
6BAH,3MRR,P01834,P61769,0
6BAH,3MZT,P01834,P61769,0
6BAH,3NFN,P01834,P61769,0
6BAH,3OV6,P01834,P61769,0
6BAH,3OXS,P01834,P61769,0
6BAH,3QDA,P01834,P61769,0
6BAH,3QZW,P01834,P61769,0
6BAH,3RL1,P01834,P61769,0
6BAH,3RWJ,P01834,P61769,0
6BAH,3S6C,P01834,P61769,0
6BAH,3SKM,P01834,P61769,0
6BAH,3SKO,P01834,P61769,0
6BAH,3SPV,P01834,P61769,0
6BAH,3TID,P01834,P61769,0
6BAH,3TO2,P01834,P61769,0
6BAH,3VFP,P01834,P61769,0
6BAH,3VFS,P01834,P61769,0
6BAH,3VFT,P01834,P61769,0
6BAH,3VFU,P01834,P61769,0
6BAH,3VRJ,P01834,P61769,0
6BAH,3VWJ,P01834,P61769,0
6BAH,3VXN,P01834,P61769,0
6BAH,3VXO,P01834,P61769,0
6BAH,3VXR,P01834,P61769,0
6BAH,3X12,P01834,P61769,0
6BAH,3X13,P01834,P61769,0
6BAH,3X14,P01834,P61769,0
6BAH,4E5X,P01834,P61769,0
6BAH,4F7P,P01834,P61769,0
6BAH,4G8I,P01834,P61769,0
6BAH,4GUP,P01834,P61769,0
6BAH,4HX1,P01834,P61769,0
6BAH,4I48,P01834,P61769,0
6BAH,4I4W,P01834,P61769,0
6BAH,4LNR,P01834,P61769,0
6BAH,4N8V,P01834,P61769,0
6BAH,4NNY,P01834,P61769,0
6BAH,4NO0,P01834,P61769,0
6BAH,4NO2,P01834,P61769,0
6BAH,4O2C,P01834,P61769,0
6BAH,4PRN,P01834,P61769,0
6BAH,4QRR,P01834,P61769,0
6BAH,4R9H,P01834,P61769,0
6BAH,4RA3,P01834,P61769,0
6BAH,4RMQ,P01834,P61769,0
6BAH,4RMS,P01834,P61769,0
6BAH,4RMV,P01834,P61769,0
6BAH,4RMW,P01834,P61769,0
6BAH,4U1M,P01834,P61769,0
6BAH,4U1S,P01834,P61769,0
6BAH,4U6X,P01834,P61769,0
6BAH,4U6Y,P01834,P61769,0
6BAH,4WU5,P01834,P61769,0
6BAH,4X6F,P01834,P61769,0
6BAH,5C0I,P01834,P61769,0
6BAH,5CKA,P01834,P61769,0
6BAH,5D9S,P01834,P61769,0
6BAH,5DEF,P01834,P61769,0
6BAH,5E00,P01834,P61769,0
6BAH,5EU3,P01834,P61769,0
6BAH,5EU6,P01834,P61769,0
6BAH,5F9J,P01834,P61769,0
6BAH,5FA4,P01834,P61769,0
6BAH,5GRD,P01834,P61769,0
6BAH,5GSR,P01834,P61769,0
6BAH,5GSV,P01834,P61769,0
6BAH,5HHP,P01834,P61769,0
6BAH,5J1A,P01834,P61769,0
6BAH,5KNM,P01834,P61769,0
6BAH,5L2J,P01834,P61769,0
6BAH,5N1Y,P01834,P61769,0
6BAH,5NMH,P01834,P61769,0
6BAH,5NMK,P01834,P61769,0
6BAH,5SWQ,P01834,P61769,0
6BAH,5T6W,P01834,P61769,0
6BAH,5T6Y,P01834,P61769,0
6BAH,5TXS,P01834,P61769,0
6BAH,5V5M,P01834,P61769,0
6BAH,5VUD,P01834,P61769,0
6BAH,5VUE,P01834,P61769,0
6BAH,5VWF,P01834,P61769,0
6BAH,5VWH,P01834,P61769,0
6BAH,5W67,P01834,P61769,0
6BAH,5WMO,P01834,P61769,0
6BAH,5WMQ,P01834,P61769,0
6BAH,5WXC,P01834,P61769,0
6BAH,6AT9,P01834,P61769,0
6BAH,6C15,P01834,P61769,0
6BAH,6D2R,P01834,P61769,0
6BAH,6EI2,P01834,P61769,0
6BAH,6EWO,P01834,P61769,0
6BAH,6FGB,P01834,P61769,0
6BAH,6IEX,P01834,P61769,0
6BAH,6ILM,P01834,P61769,0
6BAH,6J2E,P01834,P61769,0
6BAH,6J2J,P01834,P61769,0
6BAH,6JP3,P01834,P61769,0
6BAH,6JTO,P01834,P61769,0
6BAH,6K7T,P01834,P61769,0
6BAH,6M2J,P01834,P61769,0
6BAH,6MT6,P01834,P61769,0
6BAH,6MTL,P01834,P61769,0
6BAH,6MTM,P01834,P61769,0
6BAH,6NUX,P01834,P61769,0
6BAH,6O4Z,P01834,P61769,0
6BAH,6O51,P01834,P61769,0
6BAH,6P27,P01834,P61769,0
6BAH,6PYJ,P01834,P61769,0
6BAH,6PYV,P01834,P61769,0
6BAH,6QIP,P01834,P61769,0
6BAH,6RPA,P01834,P61769,0
6BAH,6TDO,P01834,P61769,0
6BAH,6TDS,P01834,P61769,0
6BAH,6TRN,P01834,P61769,0
6BAH,6UJ8,P01834,P61769,0
6BAH,6UJO,P01834,P61769,0
6BAH,6ULK,P01834,P61769,0
6BAH,6UZO,P01834,P61769,0
6BAH,6V2Q,P01834,P61769,0
6BAH,6VB2,P01834,P61769,0
6BAH,6VB4,P01834,P61769,0
6BAH,6VB7,P01834,P61769,0
6BAH,6VIU,P01834,P61769,0
6BAH,6VQ2,P01834,P61769,0
6BAH,6WNA,P01834,P61769,0
6BAH,6WZY,P01834,P61769,0
6BAH,6Y27,P01834,P61769,0
6BAH,6Y29,P01834,P61769,0
6BAH,6Y2A,P01834,P61769,0
6BAH,6ZKW,P01834,P61769,0
6BAH,7DUU,P01834,P61769,0
6BAH,7JWI,P01834,P61769,0
6BAH,7JYU,P01834,P61769,0
6BAH,7JYV,P01834,P61769,0
6BAH,7KGQ,P01834,P61769,0
6BAH,7KGR,P01834,P61769,0
6BAH,7KP0,P01834,P61769,0
6BAH,7L1B,P01834,P61769,0
6BAH,7LFZ,P01834,P61769,0
6BAH,7LG0,P01834,P61769,0
6BAH,7LG2,P01834,P61769,0
6BAH,7MJ7,P01834,P61769,0
6BAH,7MJA,P01834,P61769,0
6BAH,7N1B,P01834,P61769,0
6BAH,7N5C,P01834,P61769,0
6BAH,7N5P,P01834,P61769,0
6BAH,7N5Q,P01834,P61769,0
6BAH,7NUI,P01834,P61769,0
6BAH,7R7W,P01834,P61769,0
6BAH,7R7Y,P01834,P61769,0
6BAH,7R80,P01834,P61769,0
6BAH,7RTD,P01834,P61769,0
6BAH,7RYM,P01834,P61769,0
6BAH,7S7F,P01834,P61769,0
6BAH,7S8Q,P01834,P61769,0
6BAH,7S8S,P01834,P61769,0
6BAH,7SIH,P01834,P61769,0
6BAH,7SIS,P01834,P61769,0
6BAH,7STF,P01834,P61769,0
6BAH,7TLT,P01834,P61769,0
6BAH,7TUC,P01834,P61769,0
6BAH,7TUD,P01834,P61769,0
6BAH,7TUE,P01834,P61769,0
6BAH,7UM2,P01834,P61769,0
6BAH,7WKJ,P01834,P61769,0
6BAH,7WT3,P01834,P61769,0
6BAH,7XF3,P01834,P61769,0
6BAH,8A7O,P01834,P61769,0
6BAH,8DV4,P01834,P61769,0
6BAH,8DVG,P01834,P61769,0
6BAH,8E2Z,P01834,P61769,0
6BAH,8EC5,P01834,P61769,0
6BAH,8ESA,P01834,P61769,0
6BAH,8GLE,P01834,P61769,0
6BAH,8GLH,P01834,P61769,0
6BAH,8GOM,P01834,P61769,0
6BAH,8ISN,P01834,P61769,0
6BAH,8SBK,P01834,P61769,0
6N32,1A1O,P01834,P61769,0
6N32,1AGB,P01834,P61769,0
6N32,1AKJ,P01834,P61769,0
6N32,1B0G,P01834,P61769,0
6N32,1CE6,P01834,P61769,0
6N32,1CG9,P01834,P61769,0
6N32,1EEZ,P01834,P61769,0
6N32,1EFX,P01834,P61769,0
6N32,1EXU,P01834,P61769,0
6N32,1HHG,P01834,P61769,0
6N32,1HHH,P01834,P61769,0
6N32,1HHJ,P01834,P61769,0
6N32,1HHK,P01834,P61769,0
6N32,1HSA,P01834,P61769,0
6N32,1HSB,P01834,P61769,0
6N32,1I4F,P01834,P61769,0
6N32,1I7U,P01834,P61769,0
6N32,1IM9,P01834,P61769,0
6N32,1KTL,P01834,P61769,0
6N32,1M05,P01834,P61769,0
6N32,1OF2,P01834,P61769,0
6N32,1P7Q,P01834,P61769,0
6N32,1QLF,P01834,P61769,0
6N32,1QR1,P01834,P61769,0
6N32,1QVO,P01834,P61769,0
6N32,1SYS,P01834,P61769,0
6N32,1SYV,P01834,P61769,0
6N32,1T1W,P01834,P61769,0
6N32,1T1Z,P01834,P61769,0
6N32,1T20,P01834,P61769,0
6N32,1T21,P01834,P61769,0
6N32,1TMC,P01834,P61769,0
6N32,1TVH,P01834,P61769,0
6N32,1UQS,P01834,P61769,0
6N32,1UXS,P01834,P61769,0
6N32,1VGK,P01834,P61769,0
6N32,1W0V,P01834,P61769,0
6N32,1W0W,P01834,P61769,0
6N32,1XR8,P01834,P61769,0
6N32,1XR9,P01834,P61769,0
6N32,1ZVS,P01834,P61769,0
6N32,2A83,P01834,P61769,0
6N32,2AV1,P01834,P61769,0
6N32,2AXG,P01834,P61769,0
6N32,2BSR,P01834,P61769,0
6N32,2BSS,P01834,P61769,0
6N32,2BVO,P01834,P61769,0
6N32,2BVP,P01834,P61769,0
6N32,2BVQ,P01834,P61769,0
6N32,2C7U,P01834,P61769,0
6N32,2CII,P01834,P61769,0
6N32,2CIK,P01834,P61769,0
6N32,2CLR,P01834,P61769,0
6N32,2F8O,P01834,P61769,0
6N32,2FZ3,P01834,P61769,0
6N32,2GTZ,P01834,P61769,0
6N32,2H26,P01834,P61769,0
6N32,2H6P,P01834,P61769,0
6N32,2HJL,P01834,P61769,0
6N32,2V2W,P01834,P61769,0
6N32,2XPG,P01834,P61769,0
6N32,2YPK,P01834,P61769,0
6N32,3AM8,P01834,P61769,0
6N32,3BGM,P01834,P61769,0
6N32,3BH8,P01834,P61769,0
6N32,3BH9,P01834,P61769,0
6N32,3BO8,P01834,P61769,0
6N32,3BP4,P01834,P61769,0
6N32,3BVN,P01834,P61769,0
6N32,3BW9,P01834,P61769,0
6N32,3CII,P01834,P61769,0
6N32,3CZF,P01834,P61769,0
6N32,3D18,P01834,P61769,0
6N32,3D25,P01834,P61769,0
6N32,3D2U,P01834,P61769,0
6N32,3D39,P01834,P61769,0
6N32,3D3V,P01834,P61769,0
6N32,3DBX,P01834,P61769,0
6N32,3DX6,P01834,P61769,0
6N32,3EKC,P01834,P61769,0
6N32,3FQU,P01834,P61769,0
6N32,3FQX,P01834,P61769,0
6N32,3FT3,P01834,P61769,0
6N32,3GIV,P01834,P61769,0
6N32,3GSW,P01834,P61769,0
6N32,3H7B,P01834,P61769,0
6N32,3I6G,P01834,P61769,0
6N32,3I6K,P01834,P61769,0
6N32,3I6L,P01834,P61769,0
6N32,3IB4,P01834,P61769,0
6N32,3JTS,P01834,P61769,0
6N32,3KLA,P01834,P61769,0
6N32,3KPL,P01834,P61769,0
6N32,3KPO,P01834,P61769,0
6N32,3KPQ,P01834,P61769,0
6N32,3KPS,P01834,P61769,0
6N32,3L3G,P01834,P61769,0
6N32,3LKP,P01834,P61769,0
6N32,3LKQ,P01834,P61769,0
6N32,3LKR,P01834,P61769,0
6N32,3LN4,P01834,P61769,0
6N32,3LOZ,P01834,P61769,0
6N32,3LV3,P01834,P61769,0
6N32,3M1B,P01834,P61769,0
6N32,3MR9,P01834,P61769,0
6N32,3MRB,P01834,P61769,0
6N32,3MRC,P01834,P61769,0
6N32,3MRD,P01834,P61769,0
6N32,3MRE,P01834,P61769,0
6N32,3MRF,P01834,P61769,0
6N32,3MRG,P01834,P61769,0
6N32,3MRI,P01834,P61769,0
6N32,3MRK,P01834,P61769,0
6N32,3MRM,P01834,P61769,0
6N32,3MRN,P01834,P61769,0
6N32,3MRP,P01834,P61769,0
6N32,3MRQ,P01834,P61769,0
6N32,3MRR,P01834,P61769,0
6N32,3MZT,P01834,P61769,0
6N32,3NFN,P01834,P61769,0
6N32,3OV6,P01834,P61769,0
6N32,3OXS,P01834,P61769,0
6N32,3QDA,P01834,P61769,0
6N32,3QZW,P01834,P61769,0
6N32,3RL1,P01834,P61769,0
6N32,3RWJ,P01834,P61769,0
6N32,3S6C,P01834,P61769,0
6N32,3SKM,P01834,P61769,0
6N32,3SKO,P01834,P61769,0
6N32,3SPV,P01834,P61769,0
6N32,3TID,P01834,P61769,0
6N32,3TO2,P01834,P61769,0
6N32,3VFP,P01834,P61769,0
6N32,3VFS,P01834,P61769,0
6N32,3VFT,P01834,P61769,0
6N32,3VFU,P01834,P61769,0
6N32,3VRJ,P01834,P61769,0
6N32,3VWJ,P01834,P61769,0
6N32,3VXN,P01834,P61769,0
6N32,3VXO,P01834,P61769,0
6N32,3VXR,P01834,P61769,0
6N32,3X12,P01834,P61769,0
6N32,3X13,P01834,P61769,0
6N32,3X14,P01834,P61769,0
6N32,4E5X,P01834,P61769,0
6N32,4F7P,P01834,P61769,0
6N32,4G8I,P01834,P61769,0
6N32,4GUP,P01834,P61769,0
6N32,4HX1,P01834,P61769,0
6N32,4I48,P01834,P61769,0
6N32,4I4W,P01834,P61769,0
6N32,4LNR,P01834,P61769,0
6N32,4N8V,P01834,P61769,0
6N32,4NNY,P01834,P61769,0
6N32,4NO0,P01834,P61769,0
6N32,4NO2,P01834,P61769,0
6N32,4O2C,P01834,P61769,0
6N32,4PRN,P01834,P61769,0
6N32,4QRR,P01834,P61769,0
6N32,4R9H,P01834,P61769,0
6N32,4RA3,P01834,P61769,0
6N32,4RMQ,P01834,P61769,0
6N32,4RMS,P01834,P61769,0
6N32,4RMV,P01834,P61769,0
6N32,4RMW,P01834,P61769,0
6N32,4U1M,P01834,P61769,0
6N32,4U1S,P01834,P61769,0
6N32,4U6X,P01834,P61769,0
6N32,4U6Y,P01834,P61769,0
6N32,4WU5,P01834,P61769,0
6N32,4X6F,P01834,P61769,0
6N32,5C0I,P01834,P61769,0
6N32,5CKA,P01834,P61769,0
6N32,5D9S,P01834,P61769,0
6N32,5DEF,P01834,P61769,0
6N32,5E00,P01834,P61769,0
6N32,5EU3,P01834,P61769,0
6N32,5EU6,P01834,P61769,0
6N32,5F9J,P01834,P61769,0
6N32,5FA4,P01834,P61769,0
6N32,5GRD,P01834,P61769,0
6N32,5GSR,P01834,P61769,0
6N32,5GSV,P01834,P61769,0
6N32,5HHP,P01834,P61769,0
6N32,5J1A,P01834,P61769,0
6N32,5KNM,P01834,P61769,0
6N32,5L2J,P01834,P61769,0
6N32,5N1Y,P01834,P61769,0
6N32,5NMH,P01834,P61769,0
6N32,5NMK,P01834,P61769,0
6N32,5SWQ,P01834,P61769,0
6N32,5T6W,P01834,P61769,0
6N32,5T6Y,P01834,P61769,0
6N32,5TXS,P01834,P61769,0
6N32,5V5M,P01834,P61769,0
6N32,5VUD,P01834,P61769,0
6N32,5VUE,P01834,P61769,0
6N32,5VWF,P01834,P61769,0
6N32,5VWH,P01834,P61769,0
6N32,5W67,P01834,P61769,0
6N32,5WMO,P01834,P61769,0
6N32,5WMQ,P01834,P61769,0
6N32,5WXC,P01834,P61769,0
6N32,6AT9,P01834,P61769,0
6N32,6C15,P01834,P61769,0
6N32,6D2R,P01834,P61769,0
6N32,6EI2,P01834,P61769,0
6N32,6EWO,P01834,P61769,0
6N32,6FGB,P01834,P61769,0
6N32,6IEX,P01834,P61769,0
6N32,6ILM,P01834,P61769,0
6N32,6J2E,P01834,P61769,0
6N32,6J2J,P01834,P61769,0
6N32,6JP3,P01834,P61769,0
6N32,6JTO,P01834,P61769,0
6N32,6K7T,P01834,P61769,0
6N32,6M2J,P01834,P61769,0
6N32,6MT6,P01834,P61769,0
6N32,6MTL,P01834,P61769,0
6N32,6MTM,P01834,P61769,0
6N32,6NUX,P01834,P61769,0
6N32,6O4Z,P01834,P61769,0
6N32,6O51,P01834,P61769,0
6N32,6P27,P01834,P61769,0
6N32,6PYJ,P01834,P61769,0
6N32,6PYV,P01834,P61769,0
6N32,6QIP,P01834,P61769,0
6N32,6RPA,P01834,P61769,0
6N32,6TDO,P01834,P61769,0
6N32,6TDS,P01834,P61769,0
6N32,6TRN,P01834,P61769,0
6N32,6UJ8,P01834,P61769,0
6N32,6UJO,P01834,P61769,0
6N32,6ULK,P01834,P61769,0
6N32,6UZO,P01834,P61769,0
6N32,6V2Q,P01834,P61769,0
6N32,6VB2,P01834,P61769,0
6N32,6VB4,P01834,P61769,0
6N32,6VB7,P01834,P61769,0
6N32,6VIU,P01834,P61769,0
6N32,6VQ2,P01834,P61769,0
6N32,6WNA,P01834,P61769,0
6N32,6WZY,P01834,P61769,0
6N32,6Y27,P01834,P61769,0
6N32,6Y29,P01834,P61769,0
6N32,6Y2A,P01834,P61769,0
6N32,6ZKW,P01834,P61769,0
6N32,7DUU,P01834,P61769,0
6N32,7JWI,P01834,P61769,0
6N32,7JYU,P01834,P61769,0
6N32,7JYV,P01834,P61769,0
6N32,7KGQ,P01834,P61769,0
6N32,7KGR,P01834,P61769,0
6N32,7KP0,P01834,P61769,0
6N32,7L1B,P01834,P61769,0
6N32,7LFZ,P01834,P61769,0
6N32,7LG0,P01834,P61769,0
6N32,7LG2,P01834,P61769,0
6N32,7MJ7,P01834,P61769,0
6N32,7MJA,P01834,P61769,0
6N32,7N1B,P01834,P61769,0
6N32,7N5C,P01834,P61769,0
6N32,7N5P,P01834,P61769,0
6N32,7N5Q,P01834,P61769,0
6N32,7NUI,P01834,P61769,0
6N32,7R7W,P01834,P61769,0
6N32,7R7Y,P01834,P61769,0
6N32,7R80,P01834,P61769,0
6N32,7RTD,P01834,P61769,0
6N32,7RYM,P01834,P61769,0
6N32,7S7F,P01834,P61769,0
6N32,7S8Q,P01834,P61769,0
6N32,7S8S,P01834,P61769,0
6N32,7SIH,P01834,P61769,0
6N32,7SIS,P01834,P61769,0
6N32,7STF,P01834,P61769,0
6N32,7TLT,P01834,P61769,0
6N32,7TUC,P01834,P61769,0
6N32,7TUD,P01834,P61769,0
6N32,7TUE,P01834,P61769,0
6N32,7UM2,P01834,P61769,0
6N32,7WKJ,P01834,P61769,0
6N32,7WT3,P01834,P61769,0
6N32,7XF3,P01834,P61769,0
6N32,8A7O,P01834,P61769,0
6N32,8DV4,P01834,P61769,0
6N32,8DVG,P01834,P61769,0
6N32,8E2Z,P01834,P61769,0
6N32,8EC5,P01834,P61769,0
6N32,8ESA,P01834,P61769,0
6N32,8GLE,P01834,P61769,0
6N32,8GLH,P01834,P61769,0
6N32,8GOM,P01834,P61769,0
6N32,8ISN,P01834,P61769,0
6N32,8SBK,P01834,P61769,0
6N35,1A1O,P01834,P61769,0
6N35,1AGB,P01834,P61769,0
6N35,1AKJ,P01834,P61769,0
6N35,1B0G,P01834,P61769,0
6N35,1CE6,P01834,P61769,0
6N35,1CG9,P01834,P61769,0
6N35,1EEZ,P01834,P61769,0
6N35,1EFX,P01834,P61769,0
6N35,1EXU,P01834,P61769,0
6N35,1HHG,P01834,P61769,0
6N35,1HHH,P01834,P61769,0
6N35,1HHJ,P01834,P61769,0
6N35,1HHK,P01834,P61769,0
6N35,1HSA,P01834,P61769,0
6N35,1HSB,P01834,P61769,0
6N35,1I4F,P01834,P61769,0
6N35,1I7U,P01834,P61769,0
6N35,1IM9,P01834,P61769,0
6N35,1KTL,P01834,P61769,0
6N35,1M05,P01834,P61769,0
6N35,1OF2,P01834,P61769,0
6N35,1P7Q,P01834,P61769,0
6N35,1QLF,P01834,P61769,0
6N35,1QR1,P01834,P61769,0
6N35,1QVO,P01834,P61769,0
6N35,1SYS,P01834,P61769,0
6N35,1SYV,P01834,P61769,0
6N35,1T1W,P01834,P61769,0
6N35,1T1Z,P01834,P61769,0
6N35,1T20,P01834,P61769,0
6N35,1T21,P01834,P61769,0
6N35,1TMC,P01834,P61769,0
6N35,1TVH,P01834,P61769,0
6N35,1UQS,P01834,P61769,0
6N35,1UXS,P01834,P61769,0
6N35,1VGK,P01834,P61769,0
6N35,1W0V,P01834,P61769,0
6N35,1W0W,P01834,P61769,0
6N35,1XR8,P01834,P61769,0
6N35,1XR9,P01834,P61769,0
6N35,1ZVS,P01834,P61769,0
6N35,2A83,P01834,P61769,0
6N35,2AV1,P01834,P61769,0
6N35,2AXG,P01834,P61769,0
6N35,2BSR,P01834,P61769,0
6N35,2BSS,P01834,P61769,0
6N35,2BVO,P01834,P61769,0
6N35,2BVP,P01834,P61769,0
6N35,2BVQ,P01834,P61769,0
6N35,2C7U,P01834,P61769,0
6N35,2CII,P01834,P61769,0
6N35,2CIK,P01834,P61769,0
6N35,2CLR,P01834,P61769,0
6N35,2F8O,P01834,P61769,0
6N35,2FZ3,P01834,P61769,0
6N35,2GTZ,P01834,P61769,0
6N35,2H26,P01834,P61769,0
6N35,2H6P,P01834,P61769,0
6N35,2HJL,P01834,P61769,0
6N35,2V2W,P01834,P61769,0
6N35,2XPG,P01834,P61769,0
6N35,2YPK,P01834,P61769,0
6N35,3AM8,P01834,P61769,0
6N35,3BGM,P01834,P61769,0
6N35,3BH8,P01834,P61769,0
6N35,3BH9,P01834,P61769,0
6N35,3BO8,P01834,P61769,0
6N35,3BP4,P01834,P61769,0
6N35,3BVN,P01834,P61769,0
6N35,3BW9,P01834,P61769,0
6N35,3CII,P01834,P61769,0
6N35,3CZF,P01834,P61769,0
6N35,3D18,P01834,P61769,0
6N35,3D25,P01834,P61769,0
6N35,3D2U,P01834,P61769,0
6N35,3D39,P01834,P61769,0
6N35,3D3V,P01834,P61769,0
6N35,3DBX,P01834,P61769,0
6N35,3DX6,P01834,P61769,0
6N35,3EKC,P01834,P61769,0
6N35,3FQU,P01834,P61769,0
6N35,3FQX,P01834,P61769,0
6N35,3FT3,P01834,P61769,0
6N35,3GIV,P01834,P61769,0
6N35,3GSW,P01834,P61769,0
6N35,3H7B,P01834,P61769,0
6N35,3I6G,P01834,P61769,0
6N35,3I6K,P01834,P61769,0
6N35,3I6L,P01834,P61769,0
6N35,3IB4,P01834,P61769,0
6N35,3JTS,P01834,P61769,0
6N35,3KLA,P01834,P61769,0
6N35,3KPL,P01834,P61769,0
6N35,3KPO,P01834,P61769,0
6N35,3KPQ,P01834,P61769,0
6N35,3KPS,P01834,P61769,0
6N35,3L3G,P01834,P61769,0
6N35,3LKP,P01834,P61769,0
6N35,3LKQ,P01834,P61769,0
6N35,3LKR,P01834,P61769,0
6N35,3LN4,P01834,P61769,0
6N35,3LOZ,P01834,P61769,0
6N35,3LV3,P01834,P61769,0
6N35,3M1B,P01834,P61769,0
6N35,3MR9,P01834,P61769,0
6N35,3MRB,P01834,P61769,0
6N35,3MRC,P01834,P61769,0
6N35,3MRD,P01834,P61769,0
6N35,3MRE,P01834,P61769,0
6N35,3MRF,P01834,P61769,0
6N35,3MRG,P01834,P61769,0
6N35,3MRI,P01834,P61769,0
6N35,3MRK,P01834,P61769,0
6N35,3MRM,P01834,P61769,0
6N35,3MRN,P01834,P61769,0
6N35,3MRP,P01834,P61769,0
6N35,3MRQ,P01834,P61769,0
6N35,3MRR,P01834,P61769,0
6N35,3MZT,P01834,P61769,0
6N35,3NFN,P01834,P61769,0
6N35,3OV6,P01834,P61769,0
6N35,3OXS,P01834,P61769,0
6N35,3QDA,P01834,P61769,0
6N35,3QZW,P01834,P61769,0
6N35,3RL1,P01834,P61769,0
6N35,3RWJ,P01834,P61769,0
6N35,3S6C,P01834,P61769,0
6N35,3SKM,P01834,P61769,0
6N35,3SKO,P01834,P61769,0
6N35,3SPV,P01834,P61769,0
6N35,3TID,P01834,P61769,0
6N35,3TO2,P01834,P61769,0
6N35,3VFP,P01834,P61769,0
6N35,3VFS,P01834,P61769,0
6N35,3VFT,P01834,P61769,0
6N35,3VFU,P01834,P61769,0
6N35,3VRJ,P01834,P61769,0
6N35,3VWJ,P01834,P61769,0
6N35,3VXN,P01834,P61769,0
6N35,3VXO,P01834,P61769,0
6N35,3VXR,P01834,P61769,0
6N35,3X12,P01834,P61769,0
6N35,3X13,P01834,P61769,0
6N35,3X14,P01834,P61769,0
6N35,4E5X,P01834,P61769,0
6N35,4F7P,P01834,P61769,0
6N35,4G8I,P01834,P61769,0
6N35,4GUP,P01834,P61769,0
6N35,4HX1,P01834,P61769,0
6N35,4I48,P01834,P61769,0
6N35,4I4W,P01834,P61769,0
6N35,4LNR,P01834,P61769,0
6N35,4N8V,P01834,P61769,0
6N35,4NNY,P01834,P61769,0
6N35,4NO0,P01834,P61769,0
6N35,4NO2,P01834,P61769,0
6N35,4O2C,P01834,P61769,0
6N35,4PRN,P01834,P61769,0
6N35,4QRR,P01834,P61769,0
6N35,4R9H,P01834,P61769,0
6N35,4RA3,P01834,P61769,0
6N35,4RMQ,P01834,P61769,0
6N35,4RMS,P01834,P61769,0
6N35,4RMV,P01834,P61769,0
6N35,4RMW,P01834,P61769,0
6N35,4U1M,P01834,P61769,0
6N35,4U1S,P01834,P61769,0
6N35,4U6X,P01834,P61769,0
6N35,4U6Y,P01834,P61769,0
